keys,es,ru,pt,de,jp,fr,pl
dont you walk away with all,no te vayas con todo,не уходи со всем этим,Não vá embora levando tudo.,Geh nicht mit allem davon.,すべてを持って立ち去らないで,Ne repartez pas avec tout,nie odchodź ze wszystkim
of those bits!,¡de esos trozos!,из этих частей!,dessas partes!,Diese Teile!,その一部です！,de ces morceaux !,tych kawałków!
you need some style!,¡Necesitas algo de estilo!,Тебе нужен стиль!,Você precisa de um pouco de estilo!,Du brauchst etwas Stil!,君にはもっとスタイルが必要だ！,Il te faut du style !,potrzebujesz stylu!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Default,Por defecto,По умолчанию,Padrão,Standard,デフォルト,Défaut,Domyślny
Your birthday suit,Tu traje de cumpleaños,Твой костюм на день рождения,Seu traje de aniversário,Dein Geburtstagsanzug,誕生日の裸,Votre tenue d'anniversaire,Twój urodzinowy garnitur
Guillermo's hoodie,La sudadera con capucha de Guillermo,Толстовка Гильермо,O moletom do Guillermo,Guillermos Hoodie,ギレルモのパーカー,Le sweat à capuche de Guillermo,Bluza z kapturem Guillermo
"""He's supposed to be Spanish?""","""¿Se supone que es español?""","«Он что, испанец?»","""Ele supostamente é espanhol?""","""Er soll Spanier sein?""",「彼はスペイン人のはずなの？」,« Il est censé être espagnol ? »,„Ma być Hiszpanem?”
Tuxedo,Smoking,Смокинг,Smoking,Smoking,タキシード,Smoking,Smoking
Look good for the huzz,Luce bien para el marido.,Выглядите хорошо для Huzz,Fique bonita para o marido,Sieht gut aus für den Huzz,夫のために格好良く見える,Ayez l'air en forme pour le huzz,"Wyglądaj dobrze, gdy jest na to czas"
Bakini,Bakini,Бакини,Bakini,Bakini,バキニ,Bakini,Bakini
Boukisha's Bakini,Bakini de Boukisha,Бакини Букиши,Bakini de Boukisha,Boukishas Bakini,ブーキシャのバキニ,Bakini de Boukisha,Bakini Boukishy
King's Robe,Túnica del rey,Королевская мантия,Manto do Rei,Königsmantel,王のローブ,Robe du roi,Szata Króla
Only for the richest,Solo para los más ricos,Только для самых богатых,Apenas para os mais ricos.,Nur für die Reichsten,富裕層限定,Réservé aux plus riches,Tylko dla najbogatszych
Jersey,Jersey,Джерси,Jersey,Jersey,ジャージー,Jersey,Golf
"Ba Ba Ba, lin, lin","Ba Ba Ba, lin, lin","Ба Ба Ба, лин, лин","Ba Ba Ba, lin, lin","Ba Ba Ba, lin, lin",バババ、リン、リン,"Ba Ba Ba, lin, lin","Ba Ba Ba, lin, lin"
Oiled Up,Aceitado,Смазанный маслом,Todo oleado,eingeölt,オイルを塗って,Huilé,Naoliwiony
1000 bottles of oil,1000 botellas de aceite,1000 бутылок масла,1000 garrafas de óleo,1000 Flaschen Öl,オイル1000本,1000 bouteilles d'huile,1000 butelek oleju
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
"check out the shortcuts in the options menu, stop pressing the restart button like a pleb.","Revisa los accesos directos en el menú de opciones, deja de presionar el botón de reinicio como un novato.","Проверьте сочетания клавиш в меню настроек, перестаньте нажимать кнопку перезагрузки, как какой-то невежда.",Confira os atalhos no menu de opções e pare de apertar o botão de reiniciar como um novato.,"Schau dir die Tastenkombinationen im Optionsmenü an, hör auf, wie ein Laie ständig den Neustartknopf zu drücken.",オプションメニューのショートカットを確認してください。素人のように再起動ボタンを押すのはやめましょう。,"Consultez les raccourcis dans le menu des options, arrêtez d'appuyer sur le bouton de redémarrage comme un idiot.",sprawdź skróty w menu opcji i przestań naciskać przycisk restartu jak plebs.
"for sega genesis players, there are graphics settings to adjust.","Para los jugadores de Sega Genesis, existen ajustes gráficos que se pueden modificar.",Для игроков Sega Genesis есть возможность регулировать графические настройки.,"Para jogadores de Sega Genesis, existem configurações gráficas que podem ser ajustadas.","Für Sega Genesis-Spieler gibt es Grafikeinstellungen, die angepasst werden können.",セガジェネシスプレイヤー向けには、調整可能なグラフィック設定があります。,"Pour les joueurs de Sega Genesis, il existe des paramètres graphiques à ajuster.",gracze Sega Genesis mogą dostosować ustawienia grafiki.
is the music too loud? not loud enough? change it! you can shut it off but i might cry.,"¿La música está demasiado alta? ¿No lo suficiente? ¡Cámbiala! Puedes apagarla, pero podría llorar.","Музыка слишком громкая? Недостаточно громкая? Переключи! Можешь выключить, но я, наверное, заплачу.","A música está muito alta? Ou muito baixa? Mude o volume! Você pode desligar, mas eu posso chorar.","Ist die Musik zu laut? Nicht laut genug? Ändere sie! Du kannst sie ausschalten, aber dann muss ich vielleicht weinen.",音楽がうるさすぎる？それとも足りない？変えて！消してもいいけど、泣いちゃうかも。,"La musique est trop forte ? Pas assez forte ? Change-la ! Tu peux l'éteindre, mais je risque de pleurer.","Muzyka jest za głośna? Za mało? Zmień ją! Możesz ją wyłączyć, ale ja bym się rozpłakała."
"theres lots to find in the lobby, look around some time.","Hay muchas cosas que descubrir en el vestíbulo, date una vuelta por allí en algún momento.","В холле много чего интересного, поищите как-нибудь.","Há muita coisa para descobrir no saguão, dê uma olhada quando tiver um tempo.","In der Lobby gibt es viel zu entdecken, schau dich mal um.",ロビーには見どころがたくさんありますので、ぜひゆっくり見て回ってください。,"Il y a plein de choses à découvrir dans le hall, prenez le temps de le parcourir.","jest wiele do znalezienia w lobby, rozejrzyj się trochę."
"this game has achievements, dont you want them all?","Este juego tiene logros, ¿no los quieres todos?","В этой игре есть достижения, разве вы не хотите получить их все?","Este jogo tem conquistas, você não quer todas?","Dieses Spiel hat Erfolge, willst du sie nicht alle haben?",このゲームには実績機能があるんだけど、全部集めたくないの？,"Ce jeu propose des succès, vous ne les voulez pas tous ?",Ta gra ma osiągnięcia. Nie chcesz ich wszystkich?
some of the harder achievements reward bits!,¡Algunos de los logros más difíciles otorgan recompensas en forma de fragmentos!,За выполнение некоторых сложных заданий начисляются бонусные баллы!,Algumas das conquistas mais difíceis recompensam com bits!,Für einige der schwierigeren Erfolge erhält man Bits als Belohnung!,難易度の高い実績の中には、報酬としてビットがもらえるものもあります！,Certaines des récompenses les plus difficiles sont des morceaux !,niektóre trudniejsze osiągnięcia są nagrodami!
challenges for each boss are unlocked after beating normal mode,Los desafíos para cada jefe se desbloquean después de completar el modo normal.,Испытания для каждого босса открываются после прохождения обычного режима.,Os desafios para cada chefe são desbloqueados após concluir o modo normal.,"Die Herausforderungen für jeden Boss werden freigeschaltet, nachdem man den normalen Modus durchgespielt hat.",各ボスに対するチャレンジは、ノーマルモードをクリアするとアンロックされます。,Les défis de chaque boss se débloquent après avoir terminé le mode normal.,wyzwania dla każdego bossa odblokowują się po pokonaniu trybu normalnego
the sock's name is crusty,El nombre del calcetín es crusty,"Носок называется ""корковатым"".",O nome da meia é Crusty.,Die Socke heißt Krusty,その靴下の名前はクラスティです,Le nom de la chaussette est croustillante,skarpetka nazywa się crusty
most characters have lots of dialogue,La mayoría de los personajes tienen mucho diálogo.,У большинства персонажей много диалогов.,A maioria dos personagens tem muitos diálogos.,Die meisten Charaktere haben viele Dialoge.,ほとんどのキャラクターはセリフが多い,La plupart des personnages ont beaucoup de dialogues.,większość postaci ma dużo dialogów
"there are trailers on the youtube channel, subscribe to Tezt Dummi why dontcha.","Hay tráileres en el canal de YouTube, suscríbete a Tezt Dummi, ¿por qué no lo haces?","На YouTube-канале есть трейлеры, подпишитесь на Tezt Dummi, почему бы и нет?","Tem trailers no canal do YouTube, se inscreva no Tezt Dummi, por que não?","Es gibt Trailer auf dem YouTube-Kanal, abonniert doch Tezt Dummi.",YouTubeチャンネルに予告編があります。Tezt Dummiを購読してください。,"Il y a des bandes-annonces sur la chaîne YouTube, abonnez-vous à Tezt Dummi, pourquoi pas ?","są zwiastuny na kanale youtube, subskrybuj Tezt Dummi, dlaczego nie."
the red hoodie guy goes somewhere every time you come back to the lobby.,El tipo de la sudadera roja se va a algún sitio cada vez que vuelves al vestíbulo.,"Парень в красной толстовке куда-то уходит каждый раз, когда вы возвращаетесь в вестибюль.",O cara do moletom vermelho vai a algum lugar toda vez que você volta para o saguão.,"Der Typ mit dem roten Hoodie verschwindet jedes Mal irgendwohin, wenn man in die Lobby zurückkommt.",赤いパーカーを着た男は、あなたがロビーに戻ってくるたびにどこかへ行ってしまう。,Le type au sweat à capuche rouge disparaît à chaque fois que vous revenez dans le hall.,"facet w czerwonym kapturze gdzieś idzie za każdym razem, gdy wracasz do lobby."
"every boss has one bag of bits hidden somewhere, each worth 100 bits","Cada jefe tiene una bolsa de bits escondida en algún lugar, cada una con un valor de 100 bits.","У каждого босса где-то спрятан мешок с битами, каждый из которых стоит 100 битов.","Cada chefe tem um saco de bits escondido em algum lugar, cada um valendo 100 bits.","Jeder Boss hat irgendwo einen Beutel mit Bits versteckt, jeder Beutel ist 100 Bits wert.",ボスはそれぞれどこかにビットの入った袋を1つ隠しており、それぞれ100ビットの価値がある。,"Chaque boss possède un sac de pièces caché quelque part, chaque sac valant 100 pièces.","każdy szef ma gdzieś ukrytą torbę z bitami, każda warta 100 bitów"
links to important websites are in the credits.,En los créditos se incluyen enlaces a sitios web importantes.,"Ссылки на важные веб-сайты указаны в разделе ""Благодарности"".",Os links para sites importantes estão nos créditos.,Links zu wichtigen Webseiten finden Sie im Abspann.,重要なウェブサイトへのリンクはクレジットに記載されています。,Les liens vers les sites web importants figurent dans le générique.,Linki do ważnych stron internetowych podano w napisach końcowych.
if you want real tips go talk to rim,"Si quieres consejos de verdad, habla con Rim.","Если хотите получить действительно полезные советы, поговорите с Римом.","Se você quer dicas de verdade, fale com o Rim.","Wenn du wirklich Tipps willst, sprich mit Rim.",本当のアドバイスが欲しいなら、リムに話しかけてみて。,"Si vous voulez de vrais conseils, allez parler à Rim.","jeśli chcesz prawdziwych porad, porozmawiaj z Rimem"
talk to rim for more tips,Habla con Rim para obtener más consejos.,Обратитесь к Риму за дополнительными советами.,Fale com o Rim para mais dicas.,"Sprich mit Rim, um weitere Tipps zu erhalten.",リムにもっとアドバイスを頼んでみて,Parlez à Rim pour plus de conseils,"porozmawiaj z rimem, aby uzyskać więcej wskazówek"
labubu is repulsive,Labubu es repulsivo,Лабубу отвратителен,labubu é repulsivo,Labubu ist abstoßend,ラブブは嫌悪感を覚える,Labubu est répugnant.,labubu jest odpychający
santa isnt real,Santa no es real,Санта-Клауса не существует.,Papai Noel não existe.,Der Weihnachtsmann existiert nicht.,サンタクロースは実在しない,Le Père Noël n'existe pas.,Święty Mikołaj nie istnieje
beware the bone men,¡Cuidado con los hombres de hueso!,Остерегайтесь костяных людей,Cuidado com os homens-osso,Hütet euch vor den Knochenmännern,骨男に気をつけろ,Méfiez-vous des hommes d'os,uważaj na ludzi z kości
my name tezt dummi :),Mi nombre es Tezt Dummi :),Меня зовут Тецт Дамми :),Meu nome é Tezt Dummi :),Mein Name ist Tezt Dummi :),私の名前はテズト・ドゥミです :),Mon nom est Tezt Dummi :),moje imię to tezt dummi :)
the isnt?,¿No lo es?,Разве нет?,Não é?,Ist das nicht so?,そうではないのですか？,n'est-ce pas ?,a nie jest?
she slap on my stick till i boss,Ella me golpeó el palo hasta que me rendí.,"Она шлёпала меня по палке, пока я не начал командовать.",Ela bateu no meu pau até eu ser o chefe.,"Sie schlug auf meinen Stock, bis ich der Boss war",彼女は私のスティックを叩き、私がボスになるまで,Elle m'a tapé sur le bâton jusqu'à ce que je sois le patron,"ona klepie mnie po pałce, aż zaczynam rządzić"
maintaining a pg-13 rating f***ing sucks,Mantener una clasificación PG-13 es una mierda.,Поддерживать рейтинг PG-13 — это чертовски ужасно.,Manter uma classificação indicativa para maiores de 13 anos é uma merda.,Eine PG-13-Freigabe beizubehalten ist echt scheiße.,PG-13指定を維持するのは本当に最悪だ,"Maintenir une classification PG-13, c'est vraiment nul.",utrzymanie oceny PG-13 jest do dupy
rim is kinda cute ngl,"La llanta es bastante linda, la verdad.","Ободок довольно симпатичный, честно говоря.","A borda é meio fofa, para ser sincera.","Der Rand ist irgendwie süß, muss ich sagen.",リムはちょっと可愛いね、正直言って,"Rim est plutôt mignon, je dois l'avouer.",obręcz jest całkiem słodka
